Rutas,Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Dirección,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Número de teléfono,Correo electrónico,Sitio en Internet,Latitud,Longitud,AGEB,MANZANA
FMR01_01,ACEROS SANITARIOS E INOXIDABLES DE TOLUCA,ACEROS SANITARIOS E INOXIDABLES DE TOLUCA  SA DE CV,6 a 10 personas,CALLE AVENIDA SOLIDARIDAD LAS TORRES 921 COLONIA FRANCISCO I MADERO,52172,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,,,,19.27886208,-99.56727813,991,15
FMR06_01,ARTICULOS DE PLOMERIA CASA VALDEZ,,0 a 5 personas,CALLE XINANTECATL  COLONIA XINANTECATL,52169,15,MÉXICO                      ,54,Metepec,38,San Jorge Pueblo Nuevo,,KSVALDEZ@YAHOO.COM,,19.2642511,-99.6341332,1010,12
FMR02_06,AZULEMEX  29,AZULEJERA JAMAM SA DE CV,6 a 10 personas,AVENIDA MANUEL J CLOUTHIER 506 COLONIA SAN JERONIMO CHICAHUALCO,52170,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,,,,19.27870842,-99.59433474,968,13
FMR05_04,CALENTADORES SOLARES SIN NOMBRE,,0 a 5 personas,CALLE JOSEFA ORTIZ DE DOMINGUEZ  PUEBLO BARRIO DE SAN SALVADOR,52160,15,MÉXICO                      ,54,Metepec,32,San Bartolomé Tlaltelulco,,,,19.22538913,-99.63186568,31,37
FMR13_03,CASA GIBXI FERRETERIA,,0 a 5 personas,AVENIDA TECNOLOGICO 737 PUEBLO SAN SALVADOR TIZATLALLI,52172,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,,,19.26858809,-99.57656518,1241,11
FMR08_07,CHIKY,,0 a 5 personas,CALLE 16 DE SEPTIEMBRE 403 BARRIO SAN MIGUEL,52140,15,MÉXICO                      ,54,Metepec,1,Metepec,,,,19.24725965,-99.60128794,578,12
FMR13_01,COMERCIALIZADORA TORNINORTE,,0 a 5 personas,CALLE VIALIDAD LAS TORRES (SOLIDARIDAD)  COLONIA ALVARO OBREGON,52105,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,7224985849,TORNINORTE@GMAIL.COM,,19.27777267,-99.56430254,1203,34
FMR02_09,COMERCIALIZADORA TRIMAR,COMERCIALIZADORA TRIMAR ,0 a 5 personas,CALLE PUERTO DE GUAYMAS  COLONIA FRACC RENACIMIENTO,52170,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,2174757,,,19.27772403,-99.59740024,934,20
FMR17_03,CONSTRUFERRE DON POLY,,0 a 5 personas,CALLE MIGUEL HIDALGO 39 LOCALIDAD BARRIO LA ASUNCION,52143,15,MÉXICO                      ,54,Metepec,47,San Miguel Totocuitlapilco,,,,19.23068391,-99.58990928,667,4
FMR07_07,CONSTRUFORMAS Y SEÑALIZACIONES,CONSTRUFORMAS Y SEÑALIZACIONES SA DE CV,0 a 5 personas,CALLE BENITO JUAREZ 913 LOCALIDAD SAN FRANCISCO COAXUSCO,52158,15,MÉXICO                      ,54,Metepec,34,San Francisco Coaxusco,,,,19.2701606,-99.62911192,830,20
FMR01_05,DISENSA TECNOLOGICO,FERRECIM SA DE CV,0 a 5 personas,AVENIDA TECNOLOGICO  COLONIA SAN JERONIMO ACHICAHUALCO,52170,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,7229175960,,,19.28521902,-99.57383985,987,2
FMR08_04,DISTRIBUIDORA FERRETERA MAYORISTA FERRETERIA,,0 a 5 personas,AVENIDA ESTADO DE MEXICO 140 BARRIO ESPIRITU SANTO,52140,15,MÉXICO                      ,54,Metepec,1,Metepec,,,,19.25034063,-99.60775106,563,12
FMR13_04,ELECTRICA MIGUEL,,0 a 5 personas,AVENIDA TECNOLOGICO 1019 PUEBLO SAN SALVADOR TIZATLALLI,52172,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,ELECTRICAMIGUEL@HOTMAIL.COM,,19.265313,-99.57680594,1241,11
FMR15_04,ELECTROFERRETERA PAULA,,0 a 5 personas,CALLE JALISCO  PUEBLO SAN GASPAR TLAHUELILPAN,52147,15,MÉXICO                      ,54,Metepec,35,San Gaspar Tlahuelilpan,,,,19.24690068,-99.542981,417,7
FMR10_04,ELECTROFERRETERA Y PLOMERIA SAN JOSE,,0 a 5 personas,CALLE MOCTEZUMA 213 BARRIO BARRIO DE COAXUSTENCO,52158,15,MÉXICO                      ,54,Metepec,1,Metepec,7222320107,,,19.26023188,-99.60225358,737,36
FMR13_02,ENER SUIT ENERGIA RENOVABLE,,6 a 10 personas,AVENIDA TECNOLOGICO 883 PUEBLO SAN SALVADOR TIZATLALLI,52172,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,SUSANA.SANCHEZ@ENERSUIT.COM.MX,WWW.ENERSUIT.COM,19.27663266,-99.57466207,1241,22
FMR07_01,FERRE-MARQ,,0 a 5 personas,CALLE FUENTE DE PENELOPE 121 LOCALIDAD INFONAVIT SAN GABRIEL,52159,15,MÉXICO                      ,54,Metepec,34,San Francisco Coaxusco,,,,19.2739654,-99.61683253,864,1
FMR04_01,FERREMATERIALES LA ORQUIDEA,,0 a 5 personas,CALLE CAMINO A OCOTITLAN  COLONIA VILLAS ALTEZA,52168,15,MÉXICO                      ,54,Metepec,38,San Jorge Pueblo Nuevo,,,,19.25945376,-99.64342081,1025,29
FMR05_10,FERREMATERIALES MOLINA,,0 a 5 personas,CALLE INDEPENDENCIA  LOCALIDAD BARRIO DEL CENTRO,52160,15,MÉXICO                      ,54,Metepec,32,San Bartolomé Tlaltelulco,,,,19.22820907,-99.62828563,31,6
FMR09_01,FERREPLAZA METEPEC,,0 a 5 personas,CALLE IGNACIO ALLENDE  BARRIO SANTA CRUZ,52140,15,MÉXICO                      ,54,Metepec,1,Metepec,,,,19.25410075,-99.60461892,737,31
FMR02_03,FERRETERA SAN JERONIMO,"GRUPO SAN JERONIMO DE METEPEC, S.A. DE C.V. ",0 a 5 personas,AVENIDA MANUEL J. CLOUTHIER 821 COLONIA FRACC ARBOLEDAS II,52170,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,7222114067,,,19.28235249,-99.59449481,934,25
FMR16_05,FERRETERA SAN LUCAS,,0 a 5 personas,CALLE 20 DE NOVIEMBRE  LOCALIDAD SAN LUCAS TUNCO,52145,15,MÉXICO                      ,54,Metepec,43,San Lucas Tunco (San Lucas),,,,19.2310675,-99.53091793,741,25
FMR04_06,FERRETERIA,,0 a 5 personas,CALLE NICOLAS BRAVO  COLONIA SANTA MARIA MAGDALENA OCOTITLAN,52160,15,MÉXICO                      ,54,Metepec,55,Santa María Magdalena Ocotitlán,7223788647,,,19.23582262,-99.62326152,506,5
FMR03_04,FERRETERIA AGSA MARZUQ,,0 a 5 personas,AVENIDA CAMINO VIEJO A METEPEC  COLONIA CASA BLANCA,52175,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,,,,19.28437884,-99.60678347,915,16
FMR09_04,FERRETERIA ALCON,,0 a 5 personas,CALLE 5 DE MAYO 78 BARRIO SAN TIAGUITO,52140,15,MÉXICO                      ,54,Metepec,1,Metepec,,CHAPITASMAX@HOTMAIL.COM,,19.25200189,-99.60424111,563,10
FMR02_04,FERRETERIA ARANDAS,,0 a 5 personas,AVENIDA MANUEL J. CLOUTHIER 626 COLONIA SAN JERONIMO CHICAHUALCO,52172,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,7222113455,,,19.28010167,-99.59428646,968,14
FMR08_02,FERRETERIA AXANARI,,0 a 5 personas,AVENIDA LAS PALMAS 101 COLONIA LA MICHOACANA,52164,15,MÉXICO                      ,54,Metepec,38,San Jorge Pueblo Nuevo,7222321935,,,19.2475,-99.61918273,1097,7
FMR13_06,FERRETERIA BECERRIL,,0 a 5 personas,CALLE CALLE DE LA CRUZ  PUEBLO SAN SALVADOR TIZATLALLI,52172,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,,,19.26418747,-99.5782194,1241,12
FMR14_03,FERRETERIA CAS,,0 a 5 personas,CALLE ADOLFO LOPEZ MATEOS  COLONIA AGRICOLA LAZARO CARDENAS,52148,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,,,19.25700606,-99.55966685,1237,1
FMR03_02,FERRETERIA CASA BLANCA,,0 a 5 personas,CALLE CALLE DEL AIRE 154 COLONIA CASA BLANCA,52175,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,,,,19.27756363,-99.60645445,915,32
FMR11_06,FERRETERIA CASA FLORES,,0 a 5 personas,CALLE DURAZNO 1264 FRACCIONAMIENTO IZCALLI CUAUHTEMOC VI,52176,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,CASAFLORES2011@HOTMAIL.COM,,19.26931379,-99.596731,1152,20
FMR17_04,FERRETERIA CASA FUENTES,,0 a 5 personas,CALLE MIGUEL HIDALGO 31 LOCALIDAD BARRIO LA ASUNCION,52143,15,MÉXICO                      ,54,Metepec,47,San Miguel Totocuitlapilco,7222320624,,,19.23073787,-99.58844636,667,5
FMR03_06,FERRETERIA CASA LIEVANOS,,0 a 5 personas,CALLE PINO SUAREZ 130 COLONIA CASA BLANCA,52175,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,7222160747,FERRE-MATERIALESLIEVANOS@HOTMAIL.COM,,19.28556801,-99.60419241,915,21
FMR07_09,FERRETERIA CASTANEDA,,0 a 5 personas,CALLE SALVADOR SANCHEZ COLIN 106 COLONIA EL HIPICO,52156,15,MÉXICO                      ,54,Metepec,34,San Francisco Coaxusco,7222173701,,,19.26450761,-99.62982208,826,9
FMR14_04,FERRETERIA CAZ,,0 a 5 personas,CALLE ADOLFO LOPEZ MATEOS 3 COLONIA LAZARO CARDENAS,52148,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,7224863010,,,19.25686056,-99.55896832,1237,3
FMR14_01,FERRETERIA CORNEJO,,0 a 5 personas,CALLE ADOLFO LOPEZ MATEOS 12 COLONIA AGRICOLA LAZARO CARDENAS,52148,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,,,19.25718206,-99.56177289,1237,5
FMR11_04,FERRETERIA CUAUHTÉMOC,,0 a 5 personas,CALLE CIRCUITO CUAUHTEMOC 109 COLONIA IZCALLI CUAUHTEMOC II,52176,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,,,19.27308237,-99.59052525,1148,7
FMR10_10,FERRETERIA DAFSYL,,0 a 5 personas,AVENIDA LOS GOBERNADORES 29 COLONIA INFONAVIT SAN FRANCISCO,52176,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,,,,19.26461604,-99.59560274,1171,20
FMR11_02,FERRETERIA DE LOS ANGELES,,0 a 5 personas,CALLE LAS MARINAS 6 COLONIA LA CAMPESINA,52176,15,MÉXICO                      ,54,Metepec,49,San Salvador Tizatlalli,7221293416,,,19.27389849,-99.59478735,1114,22
FMR01_02,FERRETERIA DE SOLDADURAS ESPECIALES,,0 a 5 personas,CALLE AGUSTIN MELGAR  COLONIA FRACC EXPLANADA DEL PARQUE,52172,15,MÉXICO                      ,54,Metepec,37,San Jerónimo Chicahualco,7223440211,,,19.28264991,-99.57037844,987,5
FMR06_06,FERRETERÍA DON BENO,,0 a 5 personas,CALLE RUFFO FIGUEROA 54 COLONIA LUISA ISABEL CAMPOS,52167,15,MÉXICO                      ,54,Metepec,38,San Jorge Pueblo Nuevo,7221771141,,,19.25537768,-99.63426947,1063,8
FMR05_07,FERRETERIA DONIS,,0 a 5 personas,CALLE MARIANO MATAMOROS 7 PUEBLO SANTIAGO,52160,15,MÉXICO                      ,54,Metepec,32,San Bartolomé Tlaltelulco,,,,19.22618312,-99.62996178,31,18
